USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
laptop    2237  0.0  0.5 147188 21020 ?        Ssl   7月20   0:04 /usr/lib/unity-settings-daemon/unity-settings-daemon
laptop    2246  0.0  0.8 132384 32260 ?        Ssl   7月20   0:02 /usr/lib/i386-linux-gnu/hud/hud-service
laptop    2247  0.0  0.0   4396  3316 ?        S     7月20   0:00 /bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
laptop    2249  0.0  0.0   6396  1676 ?        S     7月20   0:16 upstart-dbus-bridge --daemon --session --user --bus-name session
laptop    2252  0.0  0.0   6804   240 ?        S     7月20   0:00 upstart-file-bridge --daemon --user
laptop    2253  0.0  0.0   6396   172 ?        S     7月20   0:00 upstart-dbus-bridge --daemon --system --user --bus-name system
laptop    2259  0.0  0.4  91148 17848 ?        Ssl   7月20   0:01 gnome-session --session=ubuntu
laptop    2263  0.1  0.7 145860 26932 ?        Ssl   7月20   2:42 /usr/lib/unity/unity-panel-service
laptop    2274  0.0  0.1  17384  3964 ?        Sl    7月20   0:03 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
laptop    2275  0.0  0.1  29364  4996 ?        Sl    7月20   0:00 /usr/lib/gvfs/gvfsd
laptop    2281  0.0  0.7 112688 27164 ?        Sl    7月20   0:07 /usr/lib/i386-linux-gnu/notify-osd
laptop    2304  0.0  0.1  44992  4936 ?        Sl    7月20   0:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
laptop    2372  0.0  0.5 149460 20708 ?        Sl    7月20   0:00 /usr/lib/i386-linux-gnu/indicator-keyboard-service --use-gtk
laptop    2390  0.0  0.1  48676  6704 ?        Ssl   7月20   0:00 /usr/lib/i386-linux-gnu/indicator-messages/indicator-messages-service
laptop    2393  0.0  0.1  40600  6936 ?        Ssl   7月20   0:00 /usr/lib/i386-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
laptop    2400  0.0  0.1  40564  7048 ?        Ssl   7月20   0:00 /usr/lib/i386-linux-gnu/indicator-power/indicator-power-service
laptop    2402  0.0  0.3 102600 12976 ?        Ssl   7月20   0:01 /usr/lib/i386-linux-gnu/indicator-datetime/indicator-datetime-service
laptop    2407  0.0  0.2 128560  9552 ?        Ssl   7月20   0:00 /usr/lib/i386-linux-gnu/indicator-sound/indicator-sound-service
laptop    2408  0.0  0.2  65460  7284 ?        Ssl   7月20   0:00 /usr/lib/i386-linux-gnu/indicator-session/indicator-session-service
laptop    2411  0.0  0.1  47660  6728 ?        Ssl   7月20   1:07 /usr/lib/i386-linux-gnu/indicator-application/indicator-application-service
laptop    2435  0.0  0.2 101732  7404 ?        S<l   7月20   0:00 /usr/bin/pulseaudio --start --log-target=syslog
laptop    2439  0.0  0.1  24532  4168 ?        Sl    7月20   0:00 /usr/lib/dconf/dconf-service
laptop    2448  0.0  0.4  92256 14784 ?        Sl    7月20   0:00 /usr/lib/evolution/evolution-source-registry
laptop    2458  0.0  0.1  11344  5228 ?        S     7月20   0:00 /usr/lib/i386-linux-gnu/gconf/gconfd-2
laptop    2477  0.6  4.2 472676 154692 ?       Sl    7月20  11:01 compiz
laptop    2482  0.0  1.7 328572 63960 ?        Sl    7月20   0:28 nautilus -n
laptop    2488  0.0  0.7 187656 28552 ?        Sl    7月20   0:06 nm-applet
laptop    2490  0.0  1.0 132248 37364 ?        Sl    7月20   0:00 /usr/lib/evolution/evolution-calendar-factory
laptop    2494  0.0  0.4  46360 16108 ?        Sl    7月20   0:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
laptop    2495  0.0  0.7  78292 28676 ?        Sl    7月20   1:42 /usr/bin/python3 /usr/bin/indicator-sysmonitor
laptop    2500  0.0  0.4  63528 15008 ?        Sl    7月20   0:00 /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
laptop    2501  0.1  0.6  48580 23320 ?        S     7月20   2:08 /usr/lib/vmware-tools/sbin32/vmtoolsd -n vmusr --blockFd 3
laptop    2508  0.0  0.5 112740 20632 ?        S     7月20   0:26 sogou-qimpanel-watchdog
laptop    2543  0.0  0.2  41976  8096 ?        Sl    7月20   0:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
root      2556  0.0  0.2  53976  7436 ?        Sl    7月20   0:00 /usr/lib/udisks2/udisksd --no-debug
laptop    2570  0.0  0.1  40988  5212 ?        Sl    7月20   0:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
laptop    2575  0.0  0.1  28772  4848 ?        Sl    7月20   0:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
laptop    2582  0.0  0.1  29884  5032 ?        Sl    7月20   0:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
laptop    2623  0.0  0.2  49568  7352 ?        Sl    7月20   0:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.14 /org/gtk/gvfs/exec_spaw/0
laptop    2657  0.2  2.8 457368 101264 ?       Rl    7月20   4:48 sogou-qimpanel
laptop    2721  0.0  0.1  38584  3924 ?        Sl    7月20   0:00 /usr/lib/gvfs/gvfsd-burn --spawner :1.14 /org/gtk/gvfs/exec_spaw/1
laptop    2728  0.0  0.1  19712  4952 ?        Sl    7月20   0:00 /usr/lib/gvfs/gvfsd-metadata
laptop    2730  0.0  0.4  85548 16800 ?        Sl    7月20   0:00 telepathy-indicator
laptop    2738  0.0  0.3  45692 11996 ?        Sl    7月20   0:00 /usr/lib/telepathy/mission-control-5
laptop    2750  0.0  0.3  78100 11068 ?        Sl    7月20   0:02 zeitgeist-datahub
laptop    2755  0.0  0.2  46364  8220 ?        Sl    7月20   0:00 /usr/bin/zeitgeist-daemon
laptop    2761  0.0  0.4  63628 16928 ?        Sl    7月20   0:03 /usr/lib/i386-linux-gnu/zeitgeist-fts
laptop    2774  0.0  0.0   5688   564 ?        S     7月20   0:00 /bin/cat
laptop    2804  0.0  0.5  70684 21356 ?        Sl    7月20   0:01 update-notifier
laptop    2826  0.0  0.1  50304  7140 ?        Sl    7月20   0:00 /usr/lib/i386-linux-gnu/deja-dup/deja-dup-monitor
laptop   10593  0.0  0.5 103260 19708 ?        Sl    7月20   0:01 /usr/lib/i386-linux-gnu/unity-scope-home/unity-scope-home
laptop   10610  0.0  0.6 109820 24344 ?        Sl    7月20   0:03 /usr/bin/unity-scope-loader applications/applications.scope applications/scopes.scope commands.scope
laptop   10611  0.0  0.3 103368 12488 ?        Sl    7月20   0:00 /usr/lib/i386-linux-gnu/unity-lens-files/unity-files-daemon
laptop   10613  0.0  0.3  70252 11664 ?        Sl    7月20   0:02 /usr/lib/i386-linux-gnu/unity-lens-music/unity-music-daemon
laptop   10804  0.4  0.9 135228 35176 ?        Rl   06:06   1:47 gnome-terminal
laptop   10809  0.0  0.0   2428  1732 ?        S    06:06   0:00 gnome-pty-helper
laptop   10810  0.0  0.1  10088  6840 pts/1    Ss   06:06   0:00 bash
root     19806  0.0  0.0      0     0 ?        S    09:15   0:02 [kworker/0:1]
root     21214  0.0  0.0      0     0 ?        S    09:20   0:00 [kworker/0:2]
root     23841  0.0  0.0      0     0 ?        S    12:50   0:00 [kworker/u16:0]
laptop   24297  0.0  0.1   9432  5856 pts/19   Ss   09:31   0:00 bash
root     28489  0.0  0.1   5528  4584 ?        S    13:06   0:00 /sbin/dhclient -d -sf /usr/lib/NetworkManager/nm-dhcp-client.action -pf /run/sendsigs.omit.d/network-manager.dhclient-eth0.pid -lf /var/lib/NetworkManager/dhclient-fe8e28ed-984d-412b-ba52-ef995a94f7f0-eth0.lease -cf /var/lib/NetworkManager/dhclient-eth0.conf eth0
laptop   29220  0.0  0.1   9180  5508 pts/20   Ss   09:52   0:00 bash
laptop   29483  0.0  0.0   6192  2728 pts/20   S+   09:57   0:00 man 2 alarm
laptop   29494  0.0  0.0   5936  2132 pts/20   S+   09:57   0:00 pager -s
root     29570  0.0  0.0      0     0 ?        S    13:10   0:00 [kworker/u16:1]
laptop   29808  0.0  0.2  15664  8492 pts/1    S+   13:11   0:00 vim pmonitor.c
laptop   30049  0.0  0.1   9180  5508 pts/21   Ss   11:03   0:00 bash
laptop   30062  0.0  0.0   6192  2604 pts/21   S+   11:03   0:00 man 2 select
laptop   30073  0.0  0.0   5936  2032 pts/21   S+   11:03   0:00 pager -s
root     31852  0.0  0.0      0     0 ?        S    13:20   0:00 [kworker/u16:2]
laptop   31975  0.0  0.0   2044   572 pts/19   S+   13:20   0:00 ./a.out
laptop   31976  0.0  0.0   6656  2408 pts/19   R+   13:20   0:00 ps aux
